,route_id,stop_id,stop_name
558,11A,6,Collectorate/DSP
559,11A,7,Uppilipalayam - Avinashi rd
560,11A,8,VOC Park
561,11A,9,Park Gate - Nanjappa rd
562,11A,10,Alankar - Nanjappa rd
563,11A,11,Gandhipuram
564,11A,12,100 feet/GP
565,11A,13,Kalyan - 100ft rd
566,11A,14,Karpagam Complex - 100ft
567,11A,15,Power House
568,11A,16,TVS - MTP rd
569,11A,17,Muthu theatre - MTP rd
570,11A,18,Murugan mills - MTP rd
571,11A,19,Saibaba Kovil
572,11A,20,Puliamaram stop - NSR rd
573,11A,21,Saibaba Colony
574,11A,22,Venkittapuram
575,11A,23,Velandipalayam
576,11A,24,Kovilmedu
577,11A,25,Sivaji Colony - Thadagam rd
578,11A,26,Edayarpalayam - Thadagam rd
579,11A,27,TVS Nagar - Thadagam rd
580,11A,28,KNG Pudur
581,11A,29,Kanuvai
582,11A,30,Somayanur - Thadagam rd
583,11A,31,Chinna Thadagam
584,11A,32,Thadagam/Anuvavi temple



585,11B,1,Railway Station
586,11B,2,Government Hospital
587,11B,3,Town Hall
588,11B,4,Sukravarpettai
589,11B,5,Marakkadai
590,11B,6,Flower Market
591,11B,7,North Coimbatore/Vadakovai
592,11B,8,TVS - MTP rd
593,11B,9,Muthu theatre - MTP rd
594,11B,10,Murugan mills - MTP rd
595,11B,11,Saibaba Kovil
596,11B,12,Puliamaram stop - NSR rd
597,11B,13,Saibaba Colony
598,11B,14,Venkittapuram
599,11B,15,Velandipalayam
600,11B,16,Kovilmedu
601,11B,17,Sivaji Colony - Thadagam rd
602,11B,18,Edayarpalayam - Thadagam rd
603,11B,19,TVS Nagar - Thadagam rd
604,11B,20,KNG Pudur pirivu
605,11B,21,Kanuvai
606,11B,22,Somayanur - Thadagam rd
607,11B,23,Chinna Thadagam
608,11B,24,Veerapandi Pudur





609,11C,1,Railway Station
610,11C,2,Government Hospital
611,11C,3,Town Hall
612,11C,4,Sukravarpettai
613,11C,5,Marakkadai
614,11C,6,Flower Market
615,11C,7,North Coimbatore/Vadakovai
616,11C,8,TVS - MTP rd
617,11C,9,Muthu theatre - MTP rd
618,11C,10,Murugan mills - MTP rd
619,11C,11,Saibaba Kovil
620,11C,12,Puliamaram stop - NSR rd
621,11C,13,Saibaba Colony
622,11C,14,Venkittapuram
623,11C,15,Velandipalayam
624,11C,16,Kovilmedu
625,11C,17,Sivaji Colony - Thadagam rd
626,11C,18,Edayarpalayam - Thadagam rd
627,11C,19,TVS Nagar - Thadagam rd
628,11C,20,KNG Pudur pirivu
629,11C,21,Kanuvai
630,11C,22,Somayanur - Thadagam rd
631,11C,23,Chinna Thadagam


632,11D,1,Railway Station
633,11D,2,Government Hospital
634,11D,3,Town Hall
635,11D,4,Sukravarpettai
636,11D,5,Marakkadai
637,11D,6,Flower Market
638,11D,7,North Coimbatore/Vadakovai
639,11D,8,TVS - MTP rd
640,11D,9,Muthu theatre - MTP rd
641,11D,10,Murugan mills - MTP rd
642,11D,11,Saibaba Kovil
643,11D,12,Puliamaram stop - NSR rd
644,11D,13,Saibaba Colony
645,11D,14,Venkittapuram
646,11D,15,Velandipalayam
647,11D,16,Kovilmedu
648,11D,17,Sivaji Colony - Thadagam rd
649,11D,18,Edayarpalayam - Thadagam rd
650,11D,19,TVS Nagar - Thadagam rd
651,11D,20,KNG Pudur pirivu
652,11D,21,Kanuvai
653,11D,22,Somayanur - Thadagam rd



654,11E,1,Railway Station
655,11E,2,Government Hospital
656,11E,3,Town Hall
657,11E,4,Sukravarpettai
658,11E,5,Marakkadai
659,11E,6,Flower Market
660,11E,7,North Coimbatore/Vadakovai
661,11E,8,TVS - MTP rd
662,11E,9,Muthu theatre - MTP rd
663,11E,10,Murugan mills - MTP rd
664,11E,11,Saibaba Kovil
665,11E,12,Puliamaram stop - NSR rd
666,11E,13,Saibaba Colony
667,11E,14,Venkittapuram
668,11E,15,Velandipalayam
669,11E,16,Kovilmedu
670,11E,17,Sivaji Colony - Thadagam rd
671,11E,18,Edayarpalayam - Thadagam rd
672,11E,19,TVS Nagar - Thadagam rd
673,11E,20,KNG Pudur pirivu
674,11E,21,Kanuvai
675,11E,22,Somayanur - Thadagam rd







676,11F,1,Railway Station
677,11F,2,Government Hospital
678,11F,3,Town Hall
679,11F,4,Marakkadai
680,11F,5,Sukravarpettai
681,11F,6,Flower Market
682,11F,7,North Coimbatore/Vadakovai
683,11F,8,TVS - MTP rd
684,11F,9,Muthu theatre - MTP rd
685,11F,10,Murugan mills - MTP rd
686,11F,11,Saibaba Kovil
687,11F,12,Puliamaram stop - NSR rd
688,11F,13,Saibaba Colony
689,11F,14,Venkittapuram
690,11F,15,Velandipalayam
691,11F,16,Kovilmedu
692,11F,17,Sivaji Colony - Thadagam rd
693,11F,18,Edayarpalayam - Thadagam rd
694,11F,19,TVS Nagar - Thadagam rd
695,11F,20,KNG Pudur pirivu
696,11F,21,KNG Pudur
697,11F,22,GN mills - MTP rd
698,11F,23,ITI - MTP rd
699,11F,24,Cheran Nagar - MTP rd
700,11F,25,Kavundampalayam
701,11F,26,Housing unit - Kovundampalayam
702,11F,27,Eru Company - MTP rd
703,11F,28,Sivanandha Colony
704,11F,29,Power House
705,11F,30,Karpagam Complex - 100ft
706,11F,31,Kalyan - 100ft rd
707,11F,32,100 feet/GP
708,11F,33,Gandhipuram
709,11F,34,Alankar - Nanjappa rd
710,11F,35,Park Gate - Nanjappa rd
711,11F,36,VOC Park
712,11F,37,Uppilipalayam - Avinashi rd
713,11F,38,Collectorate/DSP


sno,route_id,stop_id,stop_name
714,11H,1,Railway Station
715,11H,2,Collectorate/DSP
716,11H,3,Uppilipalayam - Avinashi rd
717,11H,4,VOC Park
718,11H,5,Park Gate - Nanjappa rd
719,11H,6,Alankar - Nanjappa rd
720,11H,7,Gandhipuram
721,11H,8,100 feet/GP
722,11H,9,Kalyan - 100ft rd
723,11H,10,Karpagam Complex - 100ft
724,11H,11,Power House
725,11H,12,Sivanandha Colony
726,11H,13,Saibaba Kovil
727,11H,14,Eru Company - MTP rd
728,11H,15,Housing unit - Kovundampalayam
729,11H,16,Kavundampalayam
730,11H,17,Cheran Nagar - MTP rd
731,11H,18,ITI - MTP rd
732,11H,19,GN mills - MTP rd
733,11H,20,KNG Pudur
734,11H,21,KNG Pudur pirivu
735,11H,22,TVS Nagar - Thadagam rd
736,11H,23,Edayarpalayam - Thadagam rd
737,11H,24,Sivaji Colony - Thadagam rd
738,11H,25,Kovilmedu
739,11H,26,Velandipalayam
740,11H,27,Venkittapuram
741,11H,28,Saibaba Colony
742,11H,29,Puliamaram stop - NSR rd
743,11H,30,Murugan mills - MTP rd
744,11H,31,Muthu theatre - MTP rd
745,11H,32,TVS - MTP rd
746,11H,33,North Coimbatore/Vadakovai
747,11H,34,Flower Market
748,11H,35,Marakkadai
749,11H,36,Town Hall
750,11H,37,Government Hospital



751,11K,1,Railway Station
752,11K,2,Government Hospital
753,11K,3,Town Hall
754,11K,4,Sukravarpettai
755,11K,5,Marakkadai
756,11K,6,Flower Market
757,11K,7,North Coimbatore/Vadakovai
758,11K,8,TVS - MTP rd
759,11K,9,Muthu theatre - MTP rd
760,11K,10,Murugan mills - MTP rd
761,11K,11,Saibaba Kovil
762,11K,12,Puliamaram stop - NSR rd
763,11K,13,Saibaba Colony
764,11K,14,Venkittapuram
765,11K,15,Velandipalayam
766,11K,16,Kovilmedu
767,11K,17,Sivaji Colony - Thadagam rd
768,11K,18,Edayarpalayam - Thadagam rd
769,11K,19,TVS Nagar - Thadagam rd
770,11K,20,KNG Pudur pirivu
771,11K,21,Kanuvai
772,11K,22,Somayanur - Thadagam rd
773,11K,23,Chinna Thadagam
774,11K,24,Thadagam/Anuvavi temple




775,12,1,Gandhipuram
776,12,2,Alankar - Nanjappa rd
777,12,3,Park Gate - Nanjappa rd
778,12,4,VOC Park
779,12,5,Uppilipalayam - Avinashi rd
780,12,6,Collectorate/DSP
781,12,7,Railway Station
782,12,8,Government Hospital
783,12,9,Town Hall
784,12,10,BigBazaar
785,12,11,Ukkadam
786,12,12,Karumbukkadai - Ukkadam
787,12,13,Aathupalam/L&T tollbooth
788,12,14,Kurichi
789,12,15,Sundharapuram
790,12,16,SIDCO - Pollachi rd
791,12,17,Eachanari Rly gate
792,12,18,Rathinam Institutions
793,12,19,Eachanari
794,12,20,Karpagam University
795,12,21,Malumichampatti
796,12,22,Othakalmandapam


797,12A,1,Gandhipuram
798,12A,2,Alankar - Nanjappa rd
799,12A,3,Park Gate - Nanjappa rd
800,12A,4,VOC Park
801,12A,5,Uppilipalayam - Avinashi rd
802,12A,6,Collectorate/DSP
803,12A,7,Railway Station
804,12A,8,Government Hospital
805,12A,9,Town Hall
806,12A,10,BigBazaar
807,12A,11,Ukkadam
808,12A,12,Karumbukkadai - Ukkadam
809,12A,13,Aathupalam/L&T tollbooth
810,12A,14,Kurichi
811,12A,15,Sundharapuram
812,12A,16,SIDCO - Pollachi rd
813,12A,17,Eachanari Rly gate
